QTY,INVOICENUMBER,ITEM_DESCRIPTION,MENUDESC
1,1275853,KAAK KNEFEH KASHTA,TAKE AWAY
1,1275853,KAAK KNEFEH KASHTA FRANJI,TAKE AWAY
1,1275957,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1275957,KAAK KNEFEH KASHTA,TAKE AWAY
1,1275957,KAAK KNEFEH CHOCOLATE,TAKE AWAY
1,1275957,KAAK KNEFEH CHOCOLATE,TAKE AWAY
1,1275929,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1275929,KAAK KNEFEH KASHTA,TAKE AWAY
1,1275940,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1275940,KAAK KNEFEH CHEESE FRANJI,TAKE AWAY
1,1276186,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1276186,KAAK KNEFEH CHEESE,TAKE AWAY
1,1276186,KAAK KNEFEH CHEESE,TAKE AWAY
1,1276329,ADD SUGAR FREE SYRUP,DELIVERY
5,1276329,KAAK KNEFEH KASHTA,DELIVERY
2,1276329,KAAK KNEFEH KASHTA,DELIVERY
2,1276329,KAAK KNEFEH KASHTA,DELIVERY
1.5,1276329,MIXED BAKLAVA EXTRA,DELIVERY
1.5,1276329,MIXED BAKLAVA EXTRA,DELIVERY
1.5,1276329,MIXED BAKLAVA EXTRA,DELIVERY
1,1276329,HALEWET EL JEBEN LAF/PLT,DELIVERY
1,1276329,MAFROUKEH ALMOND + PISTACHIO/PLT,DELIVERY
1,1276422,ADD SUGAR FREE SYRUP,TAKE AWAY
0.2,1276422,HALEWET EL JEBEN PLAIN W/SUGAR SYRUP,TAKE AWAY
1,1276449,ADD SUGAR FREE SYRUP,TABLES
1,1276449,KAAK KNEFEH KASHTA,TABLES
2,1276449,MCHAKAL KASHTA/PLT,TABLES
1,1276449,MINERAL WATER/1.5L,TABLES
1,1276449,MAAMOUL MAD KASHTA/PLT,TABLES
1,1276449,HALEWET EL JEBEN/PLT,TABLES
1,1277125,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1277125,KAAK KNEFEH KASHTA,TAKE AWAY
1,1277125,KAAK KNEFEH KASHTA,TAKE AWAY
1,1277125,Less Sugar Syrup,TAKE AWAY
1,1277070,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1277070,KAAK FRANJI PLAIN,TAKE AWAY
2,1277434,ADD SUGAR FREE SYRUP,TAKE AWAY
2,1277434,KAAK KNEFEH CHEESE,TAKE AWAY
8,1277434,KAAK KNEFEH CHEESE,TAKE AWAY
2,1277434,KAAK KNEFEH CHEESE FRANJI,TAKE AWAY
1,1277555,ADD SUGAR FREE SYRUP,TAKE AWAY
2,1277555,KAAK KNEFEH CHEESE,TAKE AWAY
1,1277555,KAAK KNEFEH CHEESE,TAKE AWAY
1,1277693,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1277693,KAAK KNEFEH KASHTA,TAKE AWAY
1,1278294,ADD SUGAR FREE SYRUP,TABLES
1,1278294,HALEWET EL JEBEN/PLT,TABLES
